time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-11T03:45:52.880Z,27.2464,87.7715,10,4.4,mb,,129,1.108,0.78,us,us7000blkr,2020-11-21T20:10:36.040Z,"40 km NNW of Il?m, Nepal",earthquake,8.3,1.9,0.095,32,reviewed,us,us
2020-08-25T15:24:34.342Z,29.556,80.9299,10,4.3,mb,,169,5.403,0.79,us,us7000bcp6,2020-10-31T19:06:27.040Z,"32 km N of Dipayal, Nepal",earthquake,7.4,1.8,0.133,16,reviewed,us,us
2020-05-30T15:51:39.617Z,27.8896,84.8784,10,4.3,mb,,175,1.712,0.51,us,us6000a3bl,2020-08-15T20:19:53.040Z,"45 km WNW of Kirtipur, Nepal",earthquake,6.5,1.9,0.102,27,reviewed,us,us
2020-05-12T18:08:38.863Z,27.7046,86.0378,10,4.9,mb,,42,4.893,0.81,us,us70009ett,2021-04-27T20:21:39.485Z,"29 km SSE of Kod?ri??, Nepal",earthquake,7.8,1.8,0.041,202,reviewed,us,us
2020-03-24T23:39:29.603Z,28.6107,87.2197,10,4,mb,,75,0.742,0.84,us,us70008ffi,2020-06-06T20:54:16.040Z,"83 km NNE of Lobujya, Nepal",earthquake,4.5,1.7,0.126,17,reviewed,us,us
2020-03-20T01:33:15.443Z,28.5896,87.3081,10,5.7,mww,,18,0.766,1.02,us,us70008cld,2020-06-06T20:53:55.040Z,"85 km NE of Lobujya, Nepal",earthquake,5.7,1.7,0.063,24,reviewed,us,us
2020-03-15T15:00:17.383Z,28.2184,83.5923,10,4.3,mb,,149,2.856,0.94,us,us60008g2y,2020-09-15T23:58:35.681Z,"5 km S of B?glung, Nepal",earthquake,9.9,1.9,0.08,44,reviewed,us,us
2020-01-12T20:22:02.782Z,29.4841,81.5921,10,4.3,mb,,77,8.225,1.32,us,us70006yvh,2020-04-02T21:28:21.040Z,"61 km WNW of Jumla, Nepal",earthquake,9.6,1.9,0.137,15,reviewed,us,us
2020-01-12T14:34:14.825Z,29.4848,81.705,10,4.4,mb,,160,8.308,0.58,us,us60007et1,2020-04-02T21:27:32.040Z,"51 km WNW of Jumla, Nepal",earthquake,10.8,1.9,0.089,36,reviewed,us,us
2020-01-05T13:14:02.142Z,29.9815,85.4049,10,4.4,mb,,136,4.978,0.45,us,us70006uzj,2020-03-21T17:13:36.040Z,"74 km NNE of Saga, China",earthquake,10.6,1.7,0.101,28,reviewed,us,us
2019-12-12T13:26:31.828Z,27.9194,85.7168,10,4.2,mb,,147,0.969,1.18,us,us60006qji,2020-03-04T21:26:57.040Z,"24 km W of Kod?ri??, Nepal",earthquake,8.1,1.9,0.098,29,reviewed,us,us
2019-11-27T16:23:31.706Z,27.7986,85.8214,10,4.6,mb,,96,0.891,0.69,us,us70006dt0,2020-02-19T18:58:13.040Z,"22 km SW of Kod?ri??, Nepal",earthquake,6.1,1.8,0.068,65,reviewed,us,us
2019-11-27T00:18:32.422Z,28.1658,87.8728,64.65,4.4,mb,,105,0.96,0.58,us,us70006diu,2020-02-19T18:58:09.040Z,"96 km NW of Mangan, India",earthquake,3,6.5,0.075,52,reviewed,us,us
2019-11-19T13:30:55.900Z,29.3228,81.1433,10,5,mww,,33,5.163,0.63,us,us700069vd,2020-02-14T22:02:04.040Z,"20 km ENE of Dipayal, Nepal",earthquake,7.9,1.8,0.103,9,reviewed,us,us
2019-09-26T13:04:21.563Z,28.0869,84.4371,10,4.4,mb,,177,6.082,0.8,us,us70005lmv,2019-12-20T19:02:51.040Z,"45 km N of Bharatpur, Nepal",earthquake,11.5,1.9,0.101,28,reviewed,us,us
2019-09-22T16:17:01.966Z,28.4605,84.3309,18.23,4.5,mb,,148,6.075,1.06,us,us70005nyj,2019-12-10T17:27:19.040Z,"41 km ENE of Pokhara, Nepal",earthquake,11.8,5.1,0.164,11,reviewed,us,us
2019-09-16T14:33:25.773Z,29.691,80.7419,10,4.5,mb,,165,5.597,0.47,us,us70005h21,2019-12-05T18:31:10.040Z,"24 km SE of D?rchul?, Nepal",earthquake,8.9,1.8,0.151,13,reviewed,us,us
2019-08-27T09:57:51.030Z,28.9012,86.4476,10,4.5,mb,,88,0.992,1.18,us,us70005bgh,2019-11-15T17:18:47.040Z,"111 km NNW of Lobujya, Nepal",earthquake,4.3,1.9,0.094,33,reviewed,us,us
2019-08-09T12:41:13.913Z,28.4321,83.3273,10,4.4,mb,,101,8.124,0.57,us,us600055zw,2019-10-29T20:33:49.040Z,"31 km NW of B?glung, Nepal",earthquake,11.5,1.9,0.13,17,reviewed,us,us
2019-06-17T17:58:20.595Z,28.4217,87.173,84.75,4.6,mb,,136,0.56,0.87,us,us600041vn,2019-09-06T14:25:18.040Z,"62 km NE of Lobujya, Nepal",earthquake,10.3,9.4,0.09,37,reviewed,us,us
2019-05-25T15:23:59.917Z,29.5741,81.4056,49.39,4,mb,,219,5.011,0.99,us,us60003s4n,2019-08-13T14:30:37.040Z,"56 km NE of Dipayal, Nepal",earthquake,13.8,21.5,0.164,10,reviewed,us,us
2019-05-25T05:17:24.276Z,27.6468,86.3425,10,4.5,mb,,147,4.676,0.64,us,us60003s00,2019-08-13T14:30:35.040Z,"40 km WSW of Namche Bazar, Nepal",earthquake,9.8,1.9,0.075,52,reviewed,us,us
2019-05-17T08:23:37.430Z,27.9487,84.7453,10,4.7,mb,,167,1.828,0.98,us,us70003mg6,2019-08-07T22:03:44.040Z,"42 km NE of Bharatpur, Nepal",earthquake,9.1,1.9,0.083,44,reviewed,us,us
2019-05-11T18:51:01.960Z,28.8684,81.5715,31.28,4.5,mb,,82,4.703,0.74,us,us70003jv2,2019-08-01T17:15:11.040Z,"13 km W of Dailekh, Nepal",earthquake,7.7,3.8,0.062,77,reviewed,us,us
2019-04-30T09:31:56.888Z,29.533,85.3709,10,4.2,mb,,153,2.015,0.66,us,us70003iw6,2019-07-25T18:54:01.040Z,"27 km NNE of Saga, China",earthquake,10,1.9,0.093,32,reviewed,us,us
2019-04-24T00:44:31.986Z,27.7651,85.0667,27.34,4.7,mb,,47,1.556,0.71,us,us70003b3q,2019-07-13T18:42:35.040Z,"22 km WNW of Kirtipur, Nepal",earthquake,7,3.7,0.043,165,reviewed,us,us
2019-04-14T22:42:42.875Z,29.5192,81.2864,10,4,mb,,180,5.094,1.06,us,us7000362n,2019-06-20T19:03:38.040Z,"44 km NE of Dipayal, Nepal",earthquake,11,1.9,0.173,9,reviewed,us,us
2019-02-07T05:35:48.490Z,29.2915,87.2699,10,4.2,mb,,65,3.387,0.97,us,us2000jele,2019-04-25T15:31:49.040Z,"155 km NNE of Lobujya, Nepal",earthquake,6.7,1.9,0.09,34,reviewed,us,us
2019-02-06T13:30:27.060Z,29.2611,87.2216,10,4.1,mb,,136,3.433,1.16,us,us2000je65,2019-04-25T15:31:45.040Z,"150 km NNE of Lobujya, Nepal",earthquake,10.2,1.9,0.094,31,reviewed,us,us
2019-01-22T16:45:15.580Z,27.2579,86.9202,10,4.3,mb,,162,0.704,0.58,us,us2000j7bw,2019-04-12T17:14:00.040Z,"15 km NW of Bhojpur, Nepal",earthquake,5.9,1.9,0.104,26,reviewed,us,us
2018-12-22T23:21:54.860Z,27.7764,85.5548,10,4.1,mb,,172,5.255,0.51,us,us2000iwg3,2019-02-23T20:22:33.040Z,"7 km NNE of Nagarkot, Nepal",earthquake,10.8,1.9,0.096,30,reviewed,us,us
2018-11-11T07:07:31.800Z,29.9248,80.6472,10,4.5,mb,,109,5.746,0.87,us,us1000hqj0,2019-01-21T16:42:58.040Z,"14 km NE of D?rchul?, Nepal",earthquake,6,1.9,0.096,32,reviewed,us,us
2018-10-05T07:15:04.390Z,28.7099,81.4792,10,4.3,mb,,178,8.49,1.28,us,us1000h7ex,2018-12-14T20:32:41.040Z,"18 km NW of Birendranagar, Nepal",earthquake,7.1,2,0.169,10,reviewed,us,us
2018-10-05T07:08:11.750Z,28.874,81.5789,10,4.4,mb,,141,8.379,1.17,us,us1000han2,2018-12-14T20:32:46.040Z,"13 km WNW of Dailekh, Nepal",earthquake,9.2,2,0.17,10,reviewed,us,us
2018-06-28T04:07:47.290Z,27.8919,84.8272,10,4.8,mb,,96,1.757,0.51,us,us2000fpul,2018-09-21T16:25:47.040Z,"45 km ENE of Bharatpur, Nepal",earthquake,7.6,1.9,0.048,131,reviewed,us,us
2018-06-20T04:15:26.410Z,27.1508,87.8133,52.91,4.4,mb,,85,3.87,0.54,us,us1000ew5i,2018-09-19T15:15:50.040Z,"29 km NNW of Il?m, Nepal",earthquake,8.7,7.5,0.057,88,reviewed,us,us
2018-06-20T04:08:59.880Z,26.9633,87.505,38.3,4.4,mb,,137,4.2,0.72,us,us1000f21r,2018-09-19T15:15:59.040Z,"17 km E of Dhankut?, Nepal",earthquake,10,6.3,0.058,86,reviewed,us,us
2018-06-05T01:34:36.810Z,29.6464,81.6777,10,4.7,mb,,109,8.203,0.51,us,us1000eiq5,2018-08-29T16:33:52.040Z,"64 km NW of Jumla, Nepal",earthquake,8.9,1.9,0.047,140,reviewed,us,us
2018-05-10T20:01:51.640Z,28.4517,87.421,4.66,4.4,mb,,80,0.728,0.68,us,us1000e2bu,2018-08-08T15:20:15.040Z,"81 km NE of Lobujya, Nepal",earthquake,7.6,5.2,0.075,51,reviewed,us,us
2018-05-08T13:07:39.950Z,28.0604,87.4282,32.61,4,mb,,127,0.554,0.64,us,us1000e2zc,2018-08-08T15:20:49.040Z,"61 km ENE of Lobujya, Nepal",earthquake,7.6,9.1,0.196,7,reviewed,us,us
2017-12-08T02:51:18.860Z,27.7618,86.1471,10,5,mb,,40,4.781,0.68,us,us2000c1xk,2018-02-28T02:32:32.040Z,"28 km SE of Kod?ri??, Nepal",earthquake,8.5,1.8,0.046,151,reviewed,us,us
2017-11-06T03:09:03.590Z,29.6127,81.2918,10,4.6,mb,,149,8.558,0.5,us,us2000bj36,2018-01-31T03:04:40.040Z,"51 km NE of Dipayal, Nepal",earthquake,9.1,1.9,0.09,37,reviewed,us,us
2017-08-22T00:50:35.830Z,29.3871,81.1558,10,4.6,mb,,64,7.96,0.77,us,us2000aah5,2017-11-22T03:43:28.040Z,"25 km ENE of Dipayal, Nepal",earthquake,9.1,1.9,0.078,49,reviewed,us,us
2017-08-21T12:03:13.970Z,27.5881,86.1237,10,4.5,mb,,142,4.875,1.03,us,us2000aa5v,2017-11-22T03:43:27.040Z,"44 km SSE of Kod?ri??, Nepal",earthquake,7.1,1.8,0.079,47,reviewed,us,us
2017-07-15T16:35:28.630Z,28.8507,81.6418,27.7,4.3,mb,,165,8.327,1.24,us,us20009wlh,2018-10-06T02:08:52.531Z,"6 km W of Dailekh, Nepal",earthquake,8.9,6.1,0.116,21,reviewed,us,us
2017-07-02T01:58:27.200Z,27.2384,86.1159,10,4.8,mb,,98,5.048,0.82,us,us100095t8,2017-10-03T00:47:44.040Z,"59 km NNE of Janakpur, Nepal",earthquake,8,1.9,0.054,107,reviewed,us,us
2017-04-27T02:10:11.800Z,29.2836,86.0168,8,4.4,mb,,69,1.682,0.81,us,us10008l7a,2017-07-21T02:32:08.040Z,"76 km E of Saga, China",earthquake,7.6,4.9,0.098,30,reviewed,us,us
2017-04-24T15:04:30.130Z,29.6836,81.3034,18.73,4.3,mb,,187,7.906,0.81,us,us10008kia,2017-07-21T02:32:04.040Z,"58 km NE of Dipayal, Nepal",earthquake,12,6.4,0.111,23,reviewed,us,us
2017-02-27T04:21:41.730Z,27.3706,85.9319,20.28,4.6,mb,,156,0.626,0.69,us,us20008mlv,2017-05-24T02:48:09.040Z,"47 km ESE of Panauti, Nepal",earthquake,7.5,3.7,0.066,69,reviewed,us,us
2017-02-27T03:37:45.990Z,27.4259,86.0789,11.23,4.7,mb,,57,0.725,0.62,us,us20008mll,2017-05-24T02:48:09.040Z,"57 km ESE of Dhulikhel, Nepal",earthquake,6,3.8,0.059,86,reviewed,us,us
2016-12-01T16:52:50.110Z,29.979,80.6321,31.96,5.2,mb,,41,4.687,0.76,us,us10007e1x,2017-02-23T00:11:55.040Z,"18 km NE of Dh?rchula, India",earthquake,7,4.4,0.047,152,reviewed,us,us
2016-11-27T23:35:21.020Z,27.8015,86.5319,10,5.4,mb,,30,1.081,0.67,us,us10007cuh,2019-07-12T20:07:35.290Z,"17 km W of Namche Bazar, Nepal",earthquake,5.3,1.7,0.033,314,reviewed,us,us
2016-10-07T04:52:38.250Z,28.35,85.9666,10,4,mb,,90,0.857,1.05,us,us20007dve,2017-01-07T00:20:44.040Z,"43 km N of Kod?ri??, Nepal",earthquake,5.3,2,0.164,10,reviewed,us,us
2016-09-18T17:14:17.810Z,27.8196,85.4746,25.2,4.2,mb,,68,0.176,0.94,us,us10006qpe,2016-12-12T23:01:29.040Z,"12 km NNW of Nagarkot, Nepal",earthquake,8.2,4.8,0.093,32,reviewed,us,us
2016-07-02T00:23:46.380Z,29.5139,81.0984,10,4.4,mb,,82,4.119,0.78,us,us10005zd7,2016-09-02T21:36:33.040Z,"31 km NNE of Dipayal, Nepal",earthquake,8.6,1.8,0.085,40,reviewed,us,us
2016-06-29T09:10:28.860Z,29.5553,81.1306,9.03,4.6,mb,,77,4.111,0.46,us,us200067x7,2016-08-31T03:08:22.040Z,"37 km NNE of Dipayal, Nepal",earthquake,7.2,2.7,0.077,50,reviewed,us,us
2016-06-27T14:53:00.680Z,28.7638,87.4704,10,4.7,mb,,82,2.17,0.58,us,us10005z6t,2016-08-31T03:08:19.040Z,"110 km NE of Lobujya, Nepal",earthquake,7.7,1.8,0.082,45,reviewed,us,us
2016-06-21T05:49:46.420Z,27.7243,84.9384,10,3.5,mb,,201,0.33,0.67,us,us200065q8,2016-08-27T02:15:32.040Z,"33 km W of Kirtipur, Nepal",earthquake,7.7,2,0.202,6,reviewed,us,us
2016-06-13T23:27:42.520Z,27.9339,84.4925,10,4.1,mb,,173,0.761,0.57,us,us200065ir,2016-08-25T01:22:55.040Z,"29 km N of Bharatpur, Nepal",earthquake,4.9,1.9,0.107,24,reviewed,us,us
2016-05-28T09:39:10.850Z,28.0097,85.4237,10,4.6,mb,,67,0.311,0.86,us,us20005ysr,2016-11-28T03:15:00.070Z,"34 km NNW of Nagarkot, Nepal",earthquake,5.7,1.7,0.053,107,reviewed,us,us
2016-05-26T09:29:25.640Z,28.4555,87.4821,10,4,mb,,117,2.085,1.02,us,us20005y1t,2016-08-03T22:33:45.040Z,"86 km NE of Lobujya, Nepal",earthquake,4.6,1.9,0.119,19,reviewed,us,us
2016-05-23T19:09:52.790Z,27.704,85.0896,10,4.3,mb,,87,0.195,1.21,us,us10005jdi,2016-08-03T22:33:43.040Z,"18 km W of Kirtipur, Nepal",earthquake,3.5,1.9,0.082,42,reviewed,us,us
2016-05-23T18:09:03.320Z,28.4178,87.4903,10,4.2,mb,,90,2.046,0.71,us,us10005jcy,2016-08-03T22:33:43.040Z,"84 km NE of Lobujya, Nepal",earthquake,6.7,1.8,0.093,32,reviewed,us,us
2016-05-22T04:49:45.200Z,28.5599,87.5853,11.05,4.3,mb,,112,2.174,0.72,us,us10005j6t,2016-08-03T22:33:41.040Z,"101 km NE of Lobujya, Nepal",earthquake,7.8,4.3,0.083,41,reviewed,us,us
2016-05-22T02:55:42.320Z,28.3854,87.3554,10,4,mb,,118,1.955,1.1,us,us10005j6l,2016-08-03T22:33:41.040Z,"71 km NE of Lobujya, Nepal",earthquake,7.4,2,0.108,23,reviewed,us,us
2016-05-22T02:05:54.680Z,28.5654,87.4796,4.44,5.1,mb,,39,2.091,0.71,us,us10005j6d,2016-08-03T22:33:41.040Z,"94 km NE of Lobujya, Nepal",earthquake,5.5,2.9,0.039,213,reviewed,us,us
2016-05-22T01:48:48.130Z,28.4538,87.5326,9.36,5.4,mwc,,36,2.093,0.9,us,us10005j6b,2016-11-10T22:15:52.322Z,"89 km NE of Lobujya, Nepal",earthquake,6.5,3.5,,,reviewed,us,gcmt
2016-05-22T01:46:09.770Z,28.2457,87.2227,10.37,4,mb,,120,1.768,0.72,us,us20005yj5,2016-08-03T22:33:41.040Z,"51 km NE of Lobujya, Nepal",earthquake,8.4,6.7,0.164,10,reviewed,us,us
2016-05-22T01:32:31.690Z,28.4767,87.5067,6.99,4.5,mb,,89,2.08,0.73,us,us10005j69,2016-08-03T22:33:41.040Z,"89 km NE of Lobujya, Nepal",earthquake,6.9,4,0.067,66,reviewed,us,us
2016-05-21T07:59:00.050Z,28.2817,87.3528,10,4,mb,,120,1.918,1.06,us,us10005j3y,2016-08-03T22:33:40.040Z,"64 km NE of Lobujya, Nepal",earthquake,5.5,1.9,0.113,21,reviewed,us,us
2016-05-14T22:45:55.420Z,27.8608,85.3631,22.11,4.4,mb,,44,0.153,0.57,us,us10005hgq,2016-07-22T19:39:06.040Z,Nepal,earthquake,8.1,3.3,0.069,61,reviewed,us,us
2016-05-13T23:20:59.460Z,27.958,85.5191,10,4,mb,,104,0.303,0.82,us,us10005ivg,2016-07-22T19:39:05.040Z,"26 km N of Nagarkot, Nepal",earthquake,5.4,1.9,0.134,15,reviewed,us,us
2016-05-11T08:52:47.570Z,28.0545,84.5639,15.99,4.5,mb,,73,5.984,0.63,us,us10005ggl,2016-07-20T18:10:53.040Z,"43 km NNE of Bharatpur, Nepal",earthquake,8.7,4.2,0.087,38,reviewed,us,us
2016-05-11T01:19:42.320Z,27.9448,84.9277,10.23,4.5,mb,,104,0.414,1.04,us,us10005ihi,2016-07-20T18:10:52.040Z,"45 km NW of Kirtipur, Nepal",earthquake,5.9,5.3,0.076,50,reviewed,us,us
2016-05-09T05:17:54.750Z,28.21,85.7631,39.31,4.2,mb,,66,0.634,0.78,us,us10005i7d,2016-07-20T18:10:49.040Z,"33 km NW of Kod?ri??, Nepal",earthquake,8.1,6.8,0.093,32,reviewed,us,us
2016-05-03T16:31:51.850Z,29.6379,87.9346,25.81,4.1,mb,,156,2.779,0.6,us,us10005gkb,2016-07-19T20:03:11.040Z,"101 km WNW of Rikaze, China",earthquake,13.1,6.2,0.104,25,reviewed,us,us
2016-04-19T17:22:17.910Z,28.3381,87.8381,55.92,4.3,mb,,46,2.315,1.13,us,us20005jvf,2016-06-27T23:02:19.040Z,"109 km ENE of Lobujya, Nepal",earthquake,6.8,7.6,0.104,30,reviewed,us,us
2016-04-16T04:33:03.290Z,28.3437,87.4392,10,4.1,mb,,64,1.979,0.87,us,us20005ixu,2016-06-27T23:01:48.040Z,"75 km NE of Lobujya, Nepal",earthquake,7.5,1.9,0.114,21,reviewed,us,us
2016-04-12T14:41:52.170Z,27.6062,86.0621,10,4.3,mb,,146,0.67,0.93,us,us20005heg,2016-06-21T01:14:09.040Z,"40 km SSE of Kod?ri??, Nepal",earthquake,4.6,1.9,0.097,30,reviewed,us,us
2016-04-09T13:20:13.820Z,27.6354,85.3002,10.22,4.1,mb,,168,0.077,0.76,us,us20005gv0,2016-06-21T01:14:05.040Z,"4 km SSW of P?tan, Nepal",earthquake,9,4.2,0.116,20,reviewed,us,us
2016-04-04T04:31:26.640Z,27.5381,85.8383,23.69,4.2,mb,,152,0.495,1.02,us,us20005eeq,2016-06-17T21:45:23.040Z,"30 km ESE of Dhulikhel, Nepal",earthquake,6.3,5,0.098,29,reviewed,us,us
2016-03-30T12:26:40.280Z,27.8164,85.5483,10,4.1,mb,,110,0.23,0.52,us,us20005flx,2016-06-10T23:32:58.040Z,"11 km NNE of Nagarkot, Nepal",earthquake,5.4,1.9,0.094,31,reviewed,us,us
2016-03-14T21:27:35.270Z,27.7234,85.534,27.09,4.3,mb,,137,0.193,0.75,us,us10004xlm,2016-05-21T00:05:31.040Z,"1 km NE of Nagarkot, Nepal",earthquake,11.1,6.1,0.09,35,reviewed,us,us
2016-03-13T05:15:33.690Z,27.8303,84.8208,10,4.4,mb,,171,0.453,0.76,us,us20005af9,2016-05-21T00:05:28.040Z,"41 km ENE of Bharatpur, Nepal",earthquake,7.7,1.8,0.11,24,reviewed,us,us
2016-02-24T09:22:16.670Z,27.8322,85.7365,10,4.7,mb,,49,0.391,0.71,us,us10004sb7,2016-05-03T23:44:20.040Z,"24 km ENE of Nagarkot, Nepal",earthquake,6.5,1.9,0.073,57,reviewed,us,us
2016-02-21T18:10:00.970Z,27.9633,84.6943,16.72,5.1,mb,,39,0.604,0.87,us,us10004rjm,2016-05-03T23:44:15.040Z,"40 km NE of Bharatpur, Nepal",earthquake,7,4.5,0.059,94,reviewed,us,us
2016-02-10T16:27:41.910Z,27.7118,85.6292,21.15,4.1,mb,,97,0.278,0.51,us,us20004zdq,2016-04-19T01:33:28.040Z,"10 km E of Nagarkot, Nepal",earthquake,8.4,4.5,0.095,30,reviewed,us,us
2016-02-05T16:20:11.740Z,27.8782,85.3377,23.53,5.2,mb,,44,0.166,0.82,us,us20004y4t,2020-07-10T16:22:31.100Z,"19 km N of Kathmandu, Nepal",earthquake,9.2,4.4,0.052,120,reviewed,us,us
2016-01-31T04:39:48.230Z,29.6353,84.2685,10,4.1,mb,,161,7.856,0.64,us,us20004x1e,2016-04-14T22:51:36.040Z,"99 km WNW of Saga, China",earthquake,10,1.9,0.157,11,reviewed,us,us
2016-01-31T04:18:25.460Z,29.6637,84.2327,10,4.2,mb,,145,7.897,0.79,us,us20004w3p,2016-04-14T22:51:36.040Z,"103 km WNW of Saga, China",earthquake,8.8,1.9,0.128,17,reviewed,us,us
2016-01-28T09:36:03.450Z,29.4663,87.9565,10,4.1,mb,,145,13.2,0.92,us,us20004v9s,2016-04-08T23:06:19.040Z,"93 km WNW of Rikaze, China",earthquake,9.7,1.9,0.12,19,reviewed,us,us
2016-01-26T16:57:30.840Z,29.5248,87.8553,24.65,4.2,mb,,94,5.306,0.84,us,us20004vlf,2016-04-08T23:06:16.040Z,"104 km WNW of Rikaze, China",earthquake,11.5,5.6,0.124,18,reviewed,us,us
2016-01-21T19:22:43.590Z,28.0269,85.0515,19.01,4.5,mb,,96,0.391,0.81,us,us10004g5f,2016-04-06T17:30:30.040Z,Xizang-Nepal border region,earthquake,7.4,4.4,0.068,64,reviewed,us,us
2016-01-14T00:03:52.650Z,29.4873,87.8145,10,4.1,mb,,140,2.892,1.12,us,us10004ea1,2016-03-30T02:27:59.040Z,"107 km WNW of Rikaze, China",earthquake,7.6,1.9,0.12,19,reviewed,us,us
2015-12-26T04:48:40.050Z,29.1913,81.42,10,4.1,mb,,170,8.479,0.87,us,us10004bh1,2016-03-18T01:13:01.040Z,"47 km E of Dipayal, Nepal",earthquake,11.5,1.9,0.198,7,reviewed,us,us
2015-12-18T22:16:56.550Z,29.3985,81.6541,10,5.4,mb,,34,3.632,0.8,us,us1000488j,2016-11-10T22:05:02.645Z,"53 km WNW of Jumla, Nepal",earthquake,7.5,1.8,0.035,274,reviewed,us,us
2015-11-24T12:24:15.590Z,28.1552,84.7587,8.19,4.6,mb,,60,0.661,0.96,us,us100040q1,2016-02-18T04:48:52.040Z,Nepal,earthquake,6.2,4.5,0.079,48,reviewed,us,us
2015-11-19T04:15:52.600Z,27.8525,85.6776,16.51,5,mb,,49,0.349,0.79,us,us10003zfw,2016-02-18T04:48:42.040Z,"21 km NE of Nagarkot, Nepal",earthquake,6.5,3.9,0.053,115,reviewed,us,us
2015-10-12T15:39:07.360Z,28.9796,86.3729,10,4.5,mb,,57,1.088,0.79,us,us10003n1q,2016-01-11T21:07:22.040Z,"117 km ESE of Saga, China",earthquake,2.4,1.8,0.066,67,reviewed,us,us
2015-10-09T20:29:56.020Z,28.8544,86.469,10,4.9,mb,,60,0.942,0.96,us,us10003mkt,2016-01-11T21:07:17.040Z,"105 km NNW of Lobujya, Nepal",earthquake,4.8,1.8,0.046,149,reviewed,us,us
